Date,Precipitation,WindSpeed,Temperature,WeatherType
11/01/2018 00:00,0,9.66,9,
11/01/2018 01:00,0,9.66,9,
11/01/2018 02:00,0,9.66,9,
11/01/2018 03:00,0,12.88,9,
11/01/2018 04:00,0,16.1,9,
11/01/2018 05:00,0,14.49,10,
11/01/2018 06:00,0,16.1,10,
11/01/2018 07:00,0,17.71,10,
11/01/2018 08:00,0,16.1,10,
11/01/2018 09:00,0,16.1,10,
11/01/2018 10:00,0,20.93,11,
11/01/2018 11:00,0,28.98,11,
11/01/2018 12:00,0,28.98,11,
11/01/2018 13:00,0,35.42,11,
11/01/2018 14:00,0,32.2,9,
11/01/2018 15:00,0,28.98,9,
11/01/2018 16:00,0,25.76,9,
11/01/2018 17:00,0,28.98,8,
11/01/2018 18:00,0,25.76,8,
11/01/2018 19:00,0,25.76,8,
11/01/2018 20:00,0,17.71,8,
11/01/2018 21:00,0,24.15,8,
11/01/2018 22:00,0,22.54,7,
11/01/2018 23:00,0,14.49,6,
11/02/2018 00:00,0,9.66,6,
11/02/2018 01:00,0,11.27,6,
11/02/2018 02:00,0,12.88,5,
11/02/2018 03:00,0,9.66,4,
11/02/2018 04:00,0,9.66,4,
11/02/2018 05:00,0,12.88,4,
11/02/2018 06:00,0,11.27,3,
11/02/2018 07:00,0,9.66,3,
11/02/2018 08:00,0,11.27,5,
11/02/2018 09:00,0,12.88,7,
11/02/2018 10:00,0,12.88,8,
11/02/2018 11:00,0,11.27,9,
11/02/2018 12:00,0,12.88,10,
11/02/2018 13:00,0,20.93,9,
11/02/2018 14:00,0,16.1,9,
11/02/2018 15:00,0,14.49,8,
11/02/2018 16:00,0,12.88,8,
11/02/2018 17:00,0,11.27,7,
11/02/2018 18:00,0,9.66,7,
11/02/2018 19:00,0,8.05,7,
11/02/2018 20:00,0,9.66,6,
11/02/2018 21:00,0,11.27,6,
11/02/2018 22:00,0,9.66,6,
11/02/2018 23:00,0,8.05,4,
11/03/2018 00:00,0,4.83,4,
11/03/2018 01:00,0,11.27,3,
11/03/2018 02:00,0,4.83,3,
11/03/2018 03:00,0,8.05,2,
11/03/2018 04:00,0,4.83,2,
11/03/2018 05:00,0,8.05,2,
11/03/2018 06:00,0,4.83,2,
11/03/2018 07:00,0,9.66,2,
11/03/2018 08:00,0,9.66,4,
11/03/2018 09:00,0,8.05,7,
11/03/2018 10:00,0,4.83,8,
11/03/2018 11:00,0,9.66,8,
11/03/2018 12:00,0,9.66,9,
11/03/2018 13:00,0,12.88,9,
11/03/2018 14:00,0,11.27,9,
11/03/2018 15:00,0,16.1,9,
11/03/2018 16:00,0,16.1,8,
11/03/2018 17:00,0,12.88,8,
11/03/2018 18:00,0,16.1,8,
11/03/2018 19:00,0,17.71,8,
11/03/2018 20:00,0.03,17.71,8,
11/03/2018 21:00,0.08,14.49,7,-RA:02 |RA |RA
11/03/2018 22:00,0.08,12.88,8,
11/03/2018 23:00,0.03,20.93,8,
11/04/2018 00:00,0,24.15,8,
11/04/2018 01:00,0.03,16.1,8,
11/04/2018 02:00,0.05,16.1,8,
11/04/2018 03:00,0.03,17.71,8,
11/04/2018 04:00,0,20.93,8,
11/04/2018 05:00,0,22.54,8,
11/04/2018 06:00,0.03,22.54,9,
11/04/2018 07:00,0,27.37,9,
11/04/2018 08:00,0.03,32.2,10,
11/04/2018 09:00,0.03,28.98,11,
11/04/2018 10:00,0.2,20.93,9,
11/04/2018 11:00,0.03,22.54,9,
11/04/2018 12:00,0.08,25.76,9,
11/04/2018 13:00,0.05,22.54,9,
11/04/2018 14:00,0.05,27.37,10,
11/04/2018 15:00,0.18,32.2,10,
11/04/2018 16:00,0.08,27.37,11,
11/04/2018 17:00,0.23,25.76,11,
11/04/2018 18:00,0.23,22.54,11,
11/04/2018 19:00,0.05,32.2,11,
11/04/2018 20:00,0.1,27.37,11,
11/04/2018 21:00,0.03,14.49,11,
11/04/2018 22:00,0,20.93,10,
11/04/2018 23:00,0,25.76,9,
11/05/2018 00:00,0,22.54,9,
11/05/2018 01:00,0.03,27.37,8,
11/05/2018 02:00,0.03,16.1,8,
11/05/2018 03:00,0,22.54,8,
11/05/2018 04:00,0,22.54,7,
11/05/2018 05:00,0,14.49,7,
11/05/2018 06:00,0,12.88,7,
11/05/2018 07:00,0,12.88,7,
11/05/2018 08:00,0,12.88,7,
11/05/2018 09:00,0,14.49,8,
11/05/2018 10:00,0,17.71,8,
11/05/2018 11:00,0,16.1,9,
11/05/2018 12:00,0,16.1,9,
11/05/2018 13:00,0,17.71,11,
11/05/2018 14:00,0,17.71,11,
11/05/2018 15:00,0,16.1,10,
11/05/2018 16:00,0.03,17.71,10,
11/05/2018 17:00,0.03,14.49,9,
11/05/2018 18:00,0.03,11.27,9,
