StartTime,FNS,Ohara,NWS,NS,WS,CEN,SS,SWS,FSWS,FSES
2018-11-01 00:00,6,1,2,17,9,20,8,1,0,0
2018-11-01 01:00,4,0,2,20,6,6,3,0,1,1
2018-11-01 02:00,5,0,1,7,8,13,0,2,2,1
2018-11-01 03:00,2,0,1,3,6,4,0,0,1,1
2018-11-01 04:00,3,0,1,5,5,5,2,4,0,0
2018-11-01 05:00,8,3,0,13,11,2,2,3,0,2
2018-11-01 06:00,11,0,5,18,11,12,5,5,0,2
2018-11-01 07:00,10,2,8,30,20,29,14,8,3,3
2018-11-01 08:00,7,4,6,22,35,40,13,8,0,7
2018-11-01 09:00,14,5,4,15,32,34,18,11,0,1
2018-11-01 10:00,10,3,3,18,11,19,9,5,0,4
2018-11-01 11:00,11,6,4,12,18,24,3,5,1,2
2018-11-01 12:00,7,5,1,8,24,24,14,9,1,0
2018-11-01 13:00,5,6,4,12,19,29,1,6,1,2
2018-11-01 14:00,11,6,0,11,18,27,6,4,1,1
2018-11-01 15:00,7,7,4,15,27,26,7,9,2,1
2018-11-01 16:00,10,8,2,17,24,32,11,4,2,1
2018-11-01 17:00,13,7,1,19,34,50,10,5,5,3
2018-11-01 18:00,12,8,6,38,33,60,9,5,1,4
2018-11-01 19:00,10,10,4,26,38,67,6,2,1,1
2018-11-01 20:00,9,9,2,23,29,42,8,10,0,3
2018-11-01 21:00,7,8,1,23,31,44,7,5,0,0
2018-11-01 22:00,16,7,4,16,29,30,4,5,1,0
2018-11-01 23:00,12,2,3,10,15,28,2,4,1,1
2018-11-02 00:00,9,3,1,10,12,12,3,2,2,1
2018-11-02 01:00,4,0,0,8,7,10,0,2,0,1
2018-11-02 02:00,3,0,0,11,2,5,2,0,0,1
2018-11-02 03:00,2,0,1,4,4,2,0,2,0,0
2018-11-02 04:00,1,0,1,2,0,4,2,2,0,2
2018-11-02 05:00,2,1,3,3,2,1,3,1,0,0
2018-11-02 06:00,6,4,3,15,9,21,2,6,0,2
2018-11-02 07:00,11,2,7,18,22,30,7,2,0,4
2018-11-02 08:00,9,3,6,25,36,39,10,4,1,3
2018-11-02 09:00,17,2,4,24,33,34,10,5,1,4
2018-11-02 10:00,12,3,1,22,25,20,9,9,0,3
2018-11-02 11:00,8,4,5,15,24,47,8,5,0,3
2018-11-02 12:00,6,9,5,13,15,36,6,5,0,5
2018-11-02 13:00,4,5,1,19,25,52,12,7,1,4
2018-11-02 14:00,7,4,1,8,19,34,9,7,4,4
2018-11-02 15:00,12,9,2,13,12,38,10,6,3,1
2018-11-02 16:00,14,9,5,21,31,41,8,6,2,1
2018-11-02 17:00,10,7,7,32,38,53,18,5,1,0
2018-11-02 18:00,7,4,5,43,43,76,11,10,4,3
2018-11-02 19:00,13,8,2,38,52,67,7,2,1,1
2018-11-02 20:00,15,9,4,36,43,44,6,5,3,2
2018-11-02 21:00,16,4,4,42,36,67,4,9,2,5
2018-11-02 22:00,13,3,0,51,44,56,12,5,1,1
2018-11-02 23:00,16,4,4,33,45,53,9,6,2,3
2018-11-03 00:00,10,1,6,54,20,56,6,6,0,0
2018-11-03 01:00,21,0,6,37,19,34,4,3,0,1
2018-11-03 02:00,9,0,4,30,13,32,3,1,1,3
2018-11-03 03:00,3,0,2,14,7,16,3,2,1,0
2018-11-03 04:00,4,1,4,4,10,8,0,0,0,1
2018-11-03 05:00,3,3,1,6,6,5,0,3,0,0
2018-11-03 06:00,3,3,5,7,8,8,0,2,0,0
2018-11-03 07:00,9,1,3,10,10,7,5,3,0,2
2018-11-03 08:00,9,1,7,11,5,9,5,4,0,3
2018-11-03 09:00,8,1,3,16,15,22,9,7,1,5
2018-11-03 10:00,15,0,5,21,28,33,5,6,2,2
2018-11-03 11:00,9,0,1,30,30,33,13,2,1,4
2018-11-03 12:00,9,3,3,33,24,39,11,2,1,2
2018-11-03 13:00,14,2,2,27,31,41,16,8,0,4
2018-11-03 14:00,15,5,3,30,34,40,9,7,1,1
2018-11-03 15:00,16,0,6,38,26,51,9,5,0,4
2018-11-03 16:00,12,3,1,40,28,44,9,4,2,1
2018-11-03 17:00,13,3,6,47,23,73,11,6,0,4
2018-11-03 18:00,18,4,2,54,42,75,11,5,5,2
2018-11-03 19:00,19,0,6,50,45,63,14,6,1,1
2018-11-03 20:00,16,3,9,49,45,42,6,4,2,0
2018-11-03 21:00,21,9,6,43,46,57,8,3,1,4
2018-11-03 22:00,16,4,7,68,37,63,5,2,0,1
2018-11-03 23:00,17,2,7,62,40,79,9,2,1,0
2018-11-04 00:00,14,3,2,62,43,53,4,1,2,2
2018-11-04 01:00,18,0,8,75,40,68,6,3,3,4
2018-11-04 02:00,7,0,2,27,13,23,2,2,1,2
2018-11-04 03:00,2,0,1,6,7,17,4,0,1,0
2018-11-04 04:00,3,1,2,5,7,11,2,1,0,0
2018-11-04 05:00,3,4,4,2,6,4,2,2,0,0
2018-11-04 06:00,8,2,4,13,8,13,5,4,0,1
2018-11-04 07:00,6,0,1,8,6,11,6,1,1,3
2018-11-04 08:00,7,1,4,8,12,9,4,3,0,3
2018-11-04 09:00,15,1,2,12,13,26,6,6,0,2
2018-11-04 10:00,10,5,9,33,21,49,6,2,3,3
2018-11-04 11:00,19,2,2,40,34,50,13,4,1,2
2018-11-04 12:00,11,5,6,28,22,40,12,4,0,1
2018-11-04 13:00,18,10,4,24,18,37,9,2,0,3
2018-11-04 14:00,10,8,4,28,35,39,6,9,2,1
2018-11-04 15:00,12,5,4,26,22,36,4,5,2,1
2018-11-04 16:00,11,5,3,25,19,45,7,8,0,5
2018-11-04 17:00,14,1,2,31,25,42,7,3,1,0
2018-11-04 18:00,11,10,5,28,33,39,11,8,2,0
2018-11-04 19:00,9,6,2,15,23,27,10,3,1,1
2018-11-04 20:00,5,7,4,16,17,27,3,11,2,1
2018-11-04 21:00,7,11,4,18,26,20,2,8,0,0
2018-11-04 22:00,8,4,2,20,17,17,4,8,2,1
2018-11-04 23:00,7,4,2,9,10,15,4,2,3,3
2018-11-05 00:00,2,9,0,7,11,6,3,6,0,1
2018-11-05 01:00,1,1,0,5,7,2,1,1,1,0
2018-11-05 02:00,0,0,0,1,3,3,0,1,2,1
2018-11-05 03:00,2,0,1,0,0,3,3,0,0,1
2018-11-05 04:00,1,0,0,5,12,9,0,0,0,0
2018-11-05 05:00,3,2,3,10,10,11,3,4,0,2
2018-11-05 06:00,8,6,6,19,11,14,3,4,4,1
2018-11-05 07:00,14,2,6,21,18,29,16,6,2,2
2018-11-05 08:00,13,3,7,23,28,39,10,7,1,3
2018-11-05 09:00,12,7,4,19,27,33,7,9,1,1
