Date,Clinton-Lake,Clark/Lake,State/Lake,Washington/Wabash,Adams/Wabash,Library,LaSalle/Van Buren,LaSalle,Quincy/Wells,Washington/Wells,Jackson/Dearborn,Jackson/State,Monroe/Dearborn,Monroe/State,Washington/Dearborn,Lake/State,Grand/State
01/11/2018 00:00,81.957,387.158,233.087,183.685,144.568,71.298,55.386,59.296,145.01,151.351,138.21,192.712,148.835,187.867,243.695,390.694,190.213
01/11/2018 01:00,81.957,387.158,233.087,183.685,144.568,71.298,55.386,59.296,145.01,151.351,138.21,192.712,148.835,187.867,243.695,390.694,190.213
01/11/2018 02:00,38.568,182.192,109.688,86.44,68.032,33.552,26.064,27.904,68.24,71.224,65.04,90.688,70.04,88.408,114.68,183.856,89.512
01/11/2018 03:00,38.568,182.192,109.688,86.44,68.032,33.552,26.064,27.904,68.24,71.224,65.04,90.688,70.04,88.408,114.68,183.856,89.512
01/11/2018 04:00,19.284,91.096,54.844,43.22,34.016,16.776,13.032,13.952,34.12,35.612,32.52,45.344,35.02,44.204,57.34,91.928,44.756
01/11/2018 05:00,19.284,91.096,54.844,43.22,34.016,16.776,13.032,13.952,34.12,35.612,32.52,45.344,35.02,44.204,57.34,91.928,44.756
01/11/2018 06:00,38.568,182.192,109.688,86.44,68.032,33.552,26.064,27.904,68.24,71.224,65.04,90.688,70.04,88.408,114.68,183.856,89.512
01/11/2018 07:00,101.241,478.254,287.931,226.905,178.584,88.074,68.418,73.248,179.13,186.963,170.73,238.056,183.855,232.071,301.035,482.622,234.969
01/11/2018 08:00,245.871,1161.474,699.261,551.055,433.704,213.894,166.158,177.888,435.03,454.053,414.63,578.136,446.505,563.601,731.085,1172.082,570.639
01/11/2018 09:00,202.482,956.508,575.862,453.81,357.168,176.148,136.836,146.496,358.26,373.926,341.46,476.112,367.71,464.142,602.07,965.244,469.938
01/11/2018 10:00,202.482,956.508,575.862,453.81,357.168,176.148,136.836,146.496,358.26,373.926,341.46,476.112,367.71,464.142,602.07,965.244,469.938
01/11/2018 11:00,183.198,865.412,521.018,410.59,323.152,159.372,123.804,132.544,324.14,338.314,308.94,430.768,332.69,419.938,544.73,873.316,425.182
